Work order,Date,Color,Texure,Size,Quantity in,Product Type
Bulk  24,06-08-2024,4A,Regular,16,100,SD
Bulk  25,06-08-2024,4A,Regular,18,100,SD
Bulk  26,06-08-2024,4A,Regular,20,70,SD
