Work order,Date,Color,Texure,Size,Quantity in,Product Type
BULK068,12-Aug-24,1N,Regular,22,240,SD
BULK069,12-Aug-24,2A,Regular,20,252,SD
BULK070,12-Aug-24,1N,Regular,22,500,SD
