Work order,Date,Color,Texure,Size,Quantity in,Product Type
Bulk-01,26-07-2024,2N,Curly,16,440,SD
1873-65,29-07-2024,6N,Curly,18,116,SD
1873-65,29-07-2024,9N,Curly,18,110,SD
