Work order,Date,Color,Texure,Size,Quantity in,Product Type
CUS01,12-Aug-24,Custom color,Curly,12,570,DD
CUS02,12-Aug-24,Custom color,Wavy,12,675,DD
CUS03,12-Aug-24,Custom color,Regular,12,1.125,DD
