Work order,Date,Color,Texure,Size,Quantity in,Product Type
,,,,,,
INV-JUNE-06,26-Jun-24,3B,Regular,20,3,SD
DH-JUNE-08,19-Jun-24,2N,Regular,22,1,DD
DH-JUNE-09,20-Jun-24,8B,Regular,22,1,DD
DH-JUNE-10,21-Jun-24,9B,Regular,22,1,DD
DH-JUNE-11,22-Jun-24,7N,Regular,22,1,DD
DH-JUNE-12,25-Jun-24,10N,Regular,22,1,DD
