Work order,Date,Color,Texure,Size,Quantity in,Product Type
,,,,,,
DH-MAY-11,26-May-24,3B,Regular,20,3000,SD
DH-MAY-12,19-May-24,2N,Regular,22,1000,DD
DH-MAY-13,20-May-24,8B,Regular,22,1000,DD
DH-MAY-14,21-May-24,9B,Regular,22,1000,DD
DH-MAY-15,22-May-24,7N,Regular,22,1000,DD
DH-MAY-16,25-May-24,10N,Regular,22,1000,DD
